district,mandal,village,lat,long,date,value
ADILABAD,Adilabad,Adilabad,19.668299,78.5247,01-01-2021,8.9
ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,01-01-2021,6.01
ADILABAD,Bela,Chandpally,19.684431,78.848456,01-01-2021,8.1
ADILABAD,Bheempur,Arli,19.83196,78.37931,01-01-2021,8.05
ADILABAD,Bheempur,Bheempur,19.772188,78.417841,01-01-2021,6.91
ADILABAD,Boath,Boath,19.342416,78.316527,01-01-2021,7.45
ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,01-01-2021,12.1
ADILABAD,Jainath,Bhoraj,19.739722,78.546472,01-01-2021,14.05
ADILABAD,Jainath,Jainath,19.730555,78.64,01-01-2021,3.5
ADILABAD,Narnoor,Narnoor,19.495665,78.852654,01-01-2021,2.5
ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,01-01-2021,9
ADILABAD,Talamadugu,Devapur,19.612944,78.463111,01-01-2021,6.3
ADILABAD,Talamadugu,Talamadugu,19.6334,78.396899,01-01-2021,4.79
ADILABAD,Tamsi,Tamsi,19.6811,78.426799,01-01-2021,4.4
ADILABAD,Utnoor,Utnoor,19.367777,78.782777,01-01-2021,4.7
BHADRADRI,Allapalli,Allapalli,17.82975,80.475008,01-01-2021,6.41
BHADRADRI,Allapalli,Markodu,17.91444,80.507666,01-01-2021,5.82
BHADRADRI,Annapureddypalli,Annapureddypalli,17.355422,80.82226,01-01-2021,13.98
BHADRADRI,Ashwapuram,Ammagaripalli,17.865166,80.85051,01-01-2021,1.2
BHADRADRI,Ashwapuram,Aswapuram,17.847626,80.803745,01-01-2021,5.67
BHADRADRI,Ashwapuram,Aswapuram,17.835944,80.825667,01-01-2021,4.24
BHADRADRI,Ashwapuram,ASWARAOPET (D),17.243444,81.109888,01-01-2021,31.19
BHADRADRI,Aswaraopet (S),Aswaraopet (S),17.244199,81.110599,01-01-2021,31.06
BHADRADRI,Aswaraopeta,Duradapadu,17.43166,81.090311,01-01-2021,6.58
BHADRADRI,Aswaraopeta,Gummadivalli,17.416861,81.178305,01-01-2021,2.6
BHADRADRI,Aswaraopeta,NANDIPADU,17.455835,81.128705,01-01-2021,2.32
BHADRADRI,Aswaraopeta,Vinayakapuram,17.34561,81.12147,01-01-2021,6.31
BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,01-01-2021,2.82
BHADRADRI,Burgampad,Krishnasagar,17.709524,80.811524,01-01-2021,8.15
BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,01-01-2021,5.83
BHADRADRI,Chandrugonda,Cherla,18.07449,80.83124,01-01-2021,3.26
BHADRADRI,Chandrugonda,Maddukuru,17.356111,80.675527,01-01-2021,16.77
BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,01-01-2021,5.34
BHADRADRI,Cherla,Chinmedisileru,18.061388,80.853833,01-01-2021,6.17
